"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"CNPJ ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0047-08";"SEARA ALIMENTOS LTDA";"02.914.460/0281-60";"OSASCO";"35250602914460028160550010000544441405651939";"0,00";"02/06/2025";"54444";"1";
"Ministério da Educação";"Universidade Federal de Viçosa";"25.944.455/0001-96";"MARTA VITORINO DA SILVA COMERCIO DE EQUIPAMENTOS DIDATICOS E";"31.971.029/0001-44";"SAO PAULO";"35250631971029000144550010000001151877302594";"0,00";"02/06/2025";"115";"1";
"Ministério da Defesa";"Fundo do Exército";"09.601.850/0002-09";"SOLUS COMERCIO DE MATERIAL MEDICO HOSPITALAR";"45.745.238/0001-84";"MANAUS";"13250645745238000184550010000006041611155634";"0,00";"02/06/2025";"604";"1";
"Ministério da Defesa";"Fundo do Exército";"09.601.850/0002-09";"SOLUS COMERCIO DE MATERIAL MEDICO HOSPITALAR";"45.745.238/0001-84";"MANAUS";"13250645745238000184550010000006051584405687";"0,00";"02/06/2025";"605";"1";
"Ministério da Defesa";"Fundo do Exército";"09.601.850/0002-09";"SOLUS COMERCIO DE MATERIAL MEDICO HOSPITALAR";"45.745.238/0001-84";"MANAUS";"13250645745238000184550010000006031207135778";"0,00";"02/06/2025";"603";"1";
"Ministério da Educação";"Universidade Federal de Viçosa";"25.944.455/0001-96";"MARTA VITORINO DA SILVA COMERCIO DE EQUIPAMENTOS DIDATICOS E";"31.971.029/0001-44";"SAO PAULO";"35250631971029000144550010000001141877308498";"0,00";"02/06/2025";"114";"1";
"Sem informação";"Sem informação";"00.394.502/0148-70";"NEW ORTHO COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA-EPP";"19.053.897/0001-40";"RIO DE JANEIRO";"33250619053897000140550010000062131573279357";"0,00";"02/06/2025";"6213";"1";
"Sem informação";"Sem informação";"00.394.502/0148-70";"NEW ORTHO COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA-EPP";"19.053.897/0001-40";"RIO DE JANEIRO";"33250619053897000140550010000062141189639153";"0,00";"02/06/2025";"6214";"1";
"Ministério da Defesa";"Comando do Exército";"09.577.042/0001-64";"TELEFONICA BRASIL S/A";"02.558.157/0132-21";"CAMPO GRANDE";"50250602558157013221550000005743831169990069";"0,00";"01/06/2025";"574383";"0";
"Ministério da Defesa";"Comando do Exército";"09.548.697/0001-04";"DISTRARMINDO ALIMENTOS LTDA";"34.558.525/0001-69";"MONTES CLAROS";"31250634558525000169550010000006091506838210";"0,00";"02/06/2025";"609";"1";
